	Word	Pos_tag
0	Trăm	M
1	năm	N
2	trong	E
3	cõi	N
4	người_ta	N
5	. Chữ	V
6	tài	N
7	chữ	N
8	mệnh	N
9	khéo	A
10	là	V
11	ghét	V
12	nhau	N
13	.	CH
14	Trải	V
15	qua	E
16	một	M
17	cuộc	N
18	bể_dâu	V
19	.	CH
20	Những	L
21	điều	N
22	trông	V
23	thấy	V
24	mà	C
25	đau_đớn	V
26	lòng	N
27	. Lạ_gì bỉ	V
28	sắc	N
29	tư	M
30	phong	N
31	. Trời_xanh	N
32	quen_thói	V
33	má_hồng	N
34	đánh_ghen	V
35	. Cảo	N
36	thơm	A
37	lần	N
38	giở	V
39	trước	N
40	đèn	N
41	. Phong_tình	V
42	có	V
43	lục	N
44	còn	R
45	truyền	V
46	sử_xanh	N
47	. Rằng	M
48	năm	N
49	Gia_Tĩnh	Np
50	triều	N
51	Minh	Np
52	. Bốn_phương	V
53	phẳng_lặng	V
54	hai	M
55	kinh	N
56	vững_vàng	V
57	.	CH
58	Có	V
59	nhà	N
60	viên	Z
61	ngoại	A
62	họ	P
63	Vương	Np
64	. Gia_tư	V
65	nghĩ	V
66	cũng	R
67	thường_thường	V
68	bực	V
69	trung	A
70	.	CH
71	Một	M
72	trai	N
73	con_thứ	A
74	rốt_lòng	V
75	. Vương_Quan	N
76	là	V
77	chữ	N
78	nối	V
79	dòng	N
80	nho_gia	N
81	. Đầu_lòng	V
82	hai	M
83	ả	N
84	tố_nga	V
85	. Thúy_Kiều	N
86	là	V
87	chị_em	N
88	là	V
89	Thúy_Vân	Np
90	. Mai_cốt_cách	V
91	tuyết	N
92	tinh_thần	V
93	.	CH
94	Một	M
95	người	N
96	một	M
97	vẻ	N
98	mười	M
99	phân	N
100	vẹn	N
101	mười	M
102	. Vân	N
103	xem	V
104	trang_trọng	N
105	khác_vời	V
106	. Khuôn_trăng	N
107	đầy_đặn	V
108	nét	N
109	ngài	N
110	nở_nang	V
111	. Hoa	N
112	cười	V
113	ngọc	A
114	thốt	V
115	đoan_trang	N
116	. Mây	N
117	thua	V
118	nước_tóc	N
119	tuyết	N
120	nhường	V
121	màu_da	N
122	. Kiều	V
123	càng	R
124	sắc_sảo	V
125	mặn_mà	N
126	. So	V
127	bề	N
128	tài_sắc	V
129	lại	R
130	là	V
131	phần	N
132	hơn	A
133	. Làn	N
134	thu	V
135	thủy	N
136	nét	N
137	xuân_sơn	N
138	. Hoa_ghen	N
139	thua	V
140	thắm	N
141	liễu	V
142	hờn	N
143	kém	A
144	xanh	A
145	.	CH
146	Một	M
147	hai	M
148	nghiêng	N
149	nước	N
150	nghiêng	V
151	thành	V
152	. Sắc	N
153	đành	V
154	đòi	V
155	một	M
156	tài	N
157	đành	V
158	họa	V
159	hai	M
160	. Thông_minh	N
161	vốn	R
162	sẵn	A
163	tư	M
164	trời	N
165	. Pha	V
166	nghề	N
167	thi	V
168	họa	V
169	đủ	A
170	mùi	N
171	ca_ngâm	N
172	. Cung_thương	V
173	làu	N
174	bậc	N
175	ngũ_âm	N
176	. Nghề	N
177	riêng	A
178	ăn_đứt	N
179	Hồ_cầm	Np
180	một	M
181	trương	N
182	. Khúc	V
183	nhà	N
184	tay	N
185	lựa	V
186	nên	C
187	chương	V
188	.	CH
189	Một	M
190	thiên bạc_mệnh	N
191	lại	R
192	càng	R
193	não_nhân	V
194	. Phong_lưu	N
195	rất_mực	V
196	hồng_quần	N
197	. Xuân_xanh	V
198	sấp	N
199	xỉ	V
200	tới	E
201	tuần	N
202	cập_kê	V
203	. Êm_đềm	V
204	trướng	N
205	rủ	V
206	màn	N
207	che	V
208	. Tường	N
209	đông	A
210	ong_bướm	V
211	đi	V
212	về	V
213	mặc	V
214	ai	P
215	. Ngày_xuân	V
216	con	Nc
217	én	N
218	đưa_thoi	V
219	. Thiều_quang	N
220	chín	M
221	chục	M
222	đã	R
223	ngoài	N
224	sáu_mươi	V
225	. Cỏ	N
226	non	A
227	xanh	A
228	tận	E
229	chân_trời	N
230	. Cành	V
231	lê	N
232	trắng	A
233	điểm	N
234	một_vài	V
235	bông	Nc
236	hoa	N
237	. Thanh_minh	V
238	trong	E
239	tiết	N
240	tháng	N
241	ba	M
242	. Lễ	N
243	là	V
244	tảo_mộ	N
245	hội	N
246	là	V
247	đạp_Thanh	N
248	. Gần_xa	V
249	nô_nức	N
250	yến_anh	V
251	. Chị_em	N
252	sắm_sửa	V
253	bộ_hành	N
254	chơi_xuân	V
255	. Dập_dìu	N
256	tài_tử	V
257	giai_nhân	N
258	. Ngựa_xe	A
259	như	C
260	nước	N
261	áo_quần	A
262	như	C
263	nêm	N
264	. Ngổn_ngang	V
265	gò_đống	N
266	kéo	V
267	lên	V
268	. Thoi	N
269	vàng_vó	N
270	rắc	V
271	tro	N
272	tiền	N
273	giấy	N
274	bay	V
275	. Tà_tà	A
276	bóng	N
277	ngả	P
278	về	E
279	tây	N
280	. Chị_em	V
281	thơ_thẩn	N
282	dan_tay	V
283	ra	V
284	về	V
285	. Bước	V
286	dần	R
287	theo	V
288	ngọn	N
289	tiểu_khê	N
290	. Lần	V
291	xem	V
292	phong_cảnh	N
293	có	V
294	bề	N
295	thanh_thanh	V
296	. Nao_nao	V
297	dòng	N
298	nước	N
299	uốn	V
300	quanh	N
301	. Dịp_cầu	N
302	nho_nhỏ	N
303	cuối	N
304	ghềnh	N
305	bắc	V
306	ngang	A
307	. Sè_sè	N
308	nấm_đất	V
309	bên	N
310	đàng	N
311	. Dàu_dàu	V
312	ngọn	Nc
313	cỏ	N
314	nửa	N
315	vàng	N
316	nửa	N
317	xanh	A
318	. Rằng_Sao	A
319	trong	E
320	tiết	N
321	thanh_minh	V
322	.	CH
323	Mà	C
324	đây	P
325	hương_khói	V
326	vắng_tanh	N
327	thế_mà	V
328	. Vương_Quan	N
329	mới	R
330	dẫn	V
331	gần_xa	N
332	.	CH
333	Đạm	Np
334	Tiên	Np
335	nàng	N
336	ấy	P
337	xưa	N
338	là	V
339	ca_nhi	N
340	. Nổi_danh	V
341	tài_sắc	V
342	một	M
343	thì	C
344	. Xôn_xao	V
345	ngoài	E
346	cửa	N
347	hiếm	A
348	gì	P
349	yến_anh	N
350	. Kiếp	V
351	hồng_nhan	N
352	có	V
353	mong_manh	N
354	. Nửa_chừng	V
355	xuân	N
356	thoắt	A
357	gãy	V
358	cành	N
359	thiên_hương	V
360	.	CH
361	Có	V
362	người	N
363	khách	N
364	ở	E
365	viễn_phương	N
366	. Xa	N
367	nghe	V
368	cũng	R
369	nức_tiếng	V
370	nàng	N
371	tìm	V
372	chơi	V
373	. Thuyền_tình	N
374	vừa	R
375	ghé	V
376	tới	E
377	nơi	N
378	. Thì	V
379	đà	N
380	trâm	V
381	gẫy	N
382	bình	N
383	rơi	V
384	bao_giờ	N
385	. Buồng_không	V
386	lạnh_ngắt	N
387	như_tờ	V
388	. Dấu	N
389	xe	N
390	ngựa	N
391	đã	R
392	rêu	V
393	lờ_mờ	N
394	xanh	A
395	. Khóc_than	A
396	khôn_xiết	N
397	sự_tình	V
398	. Khéo	N
399	vô_duyên	N
400	ấy	P
401	là	V
402	mình	P
403	với	E
404	ta	P
405	.	CH
406	Đã	R
407	không	R
408	duyên	V
409	trước	N
410	chăng	R
411	mà	T
412	.	CH
413	Thì	Np
414	chi_chút	V
415	ước	V
416	gọi	V
417	là	C
418	duyên	N
419	sau	N
420	. Sắm	N
421	xanh	A
422	nếp_tử	A
423	xe_châu	N
424	. Vùi	V
425	nông	V
426	một	M
427	nấm	N
428	mặc_dầu	N
429	cỏ	N
430	hoa	N
431	. Trải	V
432	bao	N
433	thỏ	N
434	lặn	V
435	ác_tà	A
436	.	CH
437	ấy	P
438	mồ	V
439	vô_chủ	N
440	ai	P
441	mà	C
442	viếng_thăm	V
443	!	CH
444	. Lòng	N
445	đâu	P
446	sẵn	A
447	mối	N
448	thương_tâm	N
449	. Thoắt	N
450	nghe	V
451	Kiều	Np
452	đã	R
453	đầm_đầm	V
454	châu_sa	V
455	. Đau_đớn	N
456	thay	V
457	phận	N
458	đàn_bà	V
459	!	CH
460	. Lời	V
461	rằng	C
462	bạc_mệnh	N
463	cũng	R
464	là	V
465	lời	N
466	chung	A
467	. Phũ_phàng	V
468	chi_bấy	N
469	hoá_công	V
470	. Ngày_xanh	N
471	mòn_mỏi	V
472	má_hồng	N
473	phôi_pha	V
474	. Sống	N
475	làm	V
476	vợ	N
477	khắp	A
478	người_ta	X
479	. Khéo	N
480	thay	V
481	thác	V
482	xuống	V
483	làm_ma	N
484	không	R
485	chồng	N
486	. Nào	V
487	người	N
488	phượng	V
489	chạ	N
490	loan	V
491	chung	A
492	. Nào	V
493	người	N
494	tích	V
495	lục	V
496	tham	N
497	hồng	N
498	là	V
499	ai	P
500	.	CH
501	đã	R
502	không	R
503	kẻ	Nc
504	đoái	V
505	người	N
506	hoài	R
507	.	CH
508	Sẵn	Np
509	đây	P
510	ta	P
511	kiếm	V
512	một_vài	N
513	nén	V
514	hương	N
515	.	CH
516	Gọi	V
517	là	C
518	gặp_gỡ	A
519	giữa	E
520	đường	N
521	. Họa	N
522	là	V
523	người	N
524	dưới	E
525	suối_vàng	N
526	biết	V
527	cho	E
528	. Lầm_rầm	N
529	khấn_khứa	V
530	nhỏ_to	N
531	. Sụp	V
532	ngồi	V
533	vài	L
534	gật	V
535	trước	E
536	mồ	N
537	bước	V
538	ra	V
539	.	CH
540	Một	M
541	vùng	N
542	cỏ_áy	N
543	bóng_tà	N
544	. Gió	V
545	hiu_hiu	N
546	thổi	V
547	một_vài	N
548	bông lau	V
549	. Rút	N
550	trâm	V
551	sẵn	A
552	giắt	V
553	mái	N
554	đầu	N
555	. Vạch	N
556	da	N
557	cây	N
558	vịnh	N
559	bốn	M
560	câu	N
561	ba	M
562	vần	N
563	. Lại	V
564	càng	R
565	mê_mẩn	V
566	tâm_thần	N
567	. Lại	V
568	càng	R
569	đứng	V
570	lặng	V
571	tần_ngần	V
572	chẳng	R
573	ra	V
574	. Lại	V
575	càng	R
576	ủ_dột	V
577	nét	N
578	hoa	N
579	. Sầu	N
580	tuôn	V
581	đứt_nối	N
582	châu_sa	V
583	vắn_dài	N
584	. Vân	V
585	rằng	C
586	Chị	Nc
587	cũng	R
588	nực_cười	V
589	. Khéo	N
590	dư	A
591	nước_mắt	V
592	khóc	V
593	người	N
594	đời	N
595	xưa	N
596	. Rằng	N
597	Hồng_nhan	Np
598	tự	P
599	thuở_xưa	V
600	. Cái	V
601	điều	N
602	bạc_mệnh	A
603	có	V
604	chừa	N
605	ai	P
606	đâu	P
607	. Nỗi_niềm	V
608	tưởng	V
609	đến	V
610	mà	C
611	đau	V
612	.	CH
613	Thấy	V
614	người	N
615	nằm	V
616	đó	P
617	biết	V
618	sau	N
619	thế_nào	N
620	. Quan	V
621	rằng	C
622	Chị	Nc
623	nói	V
624	hay	C
625	sao	P
626	.	CH
627	Một	M
